Order Date,Segment,Country,City,State,Region,Product ID,Category,Product Name,Sales,Quantity,Discount,Profit
2016-11-08,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bush Somerset Collection Bookcase,261.96,2,0.0,41.914
2016-11-08,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582
2016-06-12,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.871
2015-10-11,Consumer,United States,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,957.578,5,0.45,-383.031
2015-10-11,Consumer,United States,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.516
2014-06-09,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.169
2014-06-09,Consumer,United States,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Newell 322,7.28,4,0.0,1.966
2014-06-09,Consumer,United States,Los Angeles,California,West,TEC-PH-10002275,Technology,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.715
2014-06-09,Consumer,United States,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.783
2014-06-09,Consumer,United States,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47
2014-06-09,Consumer,United States,Los Angeles,California,West,FUR-TA-10001539,Furniture,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.309
2014-06-09,Consumer,United States,Los Angeles,California,West,TEC-PH-10002033,Technology,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.357
2017-04-15,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Xerox 1967,15.552,3,0.2,5.443
2016-12-05,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.592
2015-11-22,Home Office,United States,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
2015-11-22,Home Office,United States,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
2014-11-11,Consumer,United States,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.318
2014-05-13,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99
2014-08-27,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Newell 341,8.56,2,0.0,2.482
2014-08-27,Consumer,United States,San Francisco,California,West,TEC-PH-10001949,Technology,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
2014-08-27,Consumer,United States,San Francisco,California,West,OFF-BI-10002215,Office Supplies,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
2016-12-09,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Newell 318,19.46,7,0.0,5.06
2016-12-09,Corporate,United States,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.688
2017-07-16,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.02
2015-09-25,Consumer,United States,Orem,Utah,West,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.265
2016-01-16,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Wilson Jones Active Use Binders,11.648,2,0.2,4.222
2016-01-16,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.774
2015-09-17,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.052
2015-09-17,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.053
2015-09-17,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
2015-09-17,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Poly String Tie Envelopes,3.264,2,0.2,1.102
2015-09-17,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.709
2015-09-17,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
2015-09-17,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Lumber Crayons,15.76,2,0.2,3.546
2017-10-19,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Easy-staple paper,29.472,3,0.2,9.947
2016-12-08,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,GE 30524EE4,1097.544,7,0.2,123.474
2016-12-08,Corporate,United States,Richardson,Texas,Central,FUR-FU-10003664,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
2015-12-27,Home Office,United States,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
2015-12-27,Home Office,United States,Houston,Texas,Central,FUR-BO-10002545,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.399,3,0.32,-46.976
2015-12-27,Home Office,United States,Houston,Texas,Central,FUR-CH-10004218,Furniture,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
2015-12-27,Home Office,United States,Houston,Texas,Central,TEC-PH-10000486,Technology,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.756
2017-09-10,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Panasonic Kx-TS550,147.168,4,0.2,16.556
2016-07-17,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894
2017-09-19,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.562
2016-03-11,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.771
2016-03-11,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.206
2014-10-20,Consumer,United States,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.478
2016-06-20,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95
2016-06-20,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104
2015-04-18,Consumer,United States,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.963
2015-04-18,Consumer,United States,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Avery 485,75.18,6,0.0,35.335
2015-04-18,Consumer,United States,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Longer-Life Soft White Bulbs,6.16,2,0.0,2.957
2015-04-18,Consumer,United States,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,"Global Leather Task Chair, Black",89.99,1,0.0,17.098
2016-12-11,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Advantus Push Pins,15.26,7,0.0,6.257
2016-12-11,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.686
